,0,Target
2379,Secondary Education,Graduate
2380,Secondary Education,Graduate
2381,Primary Education,Graduate
2382,Secondary Education,Dropout
2385,Primary Education,Graduate
2387,Secondary Education,Graduate
2388,Trade School Education,Dropout
2389,Primary Education,Dropout
2390,Secondary Education,Dropout
2391,Trade School Education,Dropout
2393,Secondary Education,Dropout
2394,Trade School Education,Graduate
2396,Secondary Education,Dropout
2398,Secondary Education,Graduate
2399,Secondary Education,Graduate
2400,Secondary Education,Dropout
2401,Trade School Education,Graduate
2402,Primary Education,Dropout
2403,Trade School Education,Graduate
2404,Secondary Education,Dropout
2405,Trade School Education,Graduate
2406,Trade School Education,Graduate
2407,Trade School Education,Dropout
2408,Trade School Education,Dropout
2409,Trade School Education,Dropout
2410,Primary Education,Dropout
2411,Primary Education,Dropout
2413,Primary Education,Graduate
2414,Primary Education,Graduate
2415,Primary Education,Dropout
2416,Trade School Education,Dropout
2417,Trade School Education,Graduate
2418,Secondary Education,Graduate
2420,Trade School Education,Dropout
2421,Trade School Education,Dropout
2422,Trade School Education,Graduate
2423,Secondary Education,Dropout
2424,Trade School Education,Dropout
2425,Primary Education,Dropout
2426,Primary Education,Dropout
2427,Trade School Education,Graduate
2428,Secondary Education,Dropout
2429,Primary Education,Dropout
2430,Trade School Education,Graduate
2431,Trade School Education,Graduate
2432,Trade School Education,Dropout
2435,Trade School Education,Graduate
2436,Secondary Education,Graduate
2437,Trade School Education,Dropout
2438,Secondary Education,Dropout
2439,Primary Education,Dropout
2440,Secondary Education,Dropout
2442,Primary Education,Dropout
2443,Secondary Education,Graduate
2444,Primary Education,Dropout
2446,Trade School Education,Dropout
2447,Trade School Education,Graduate
2448,Trade School Education,Dropout
2449,Trade School Education,Dropout
2451,Secondary Education,Dropout
2452,Secondary Education,Graduate
2454,Secondary Education,Dropout
2455,Primary Education,Graduate
2456,Trade School Education,Graduate
2458,Primary Education,Dropout
2459,Primary Education,Graduate
2460,Trade School Education,Dropout
2461,Primary Education,Dropout
2462,Secondary Education,Dropout
2463,Trade School Education,Dropout
2464,Trade School Education,Dropout
2465,Trade School Education,Dropout
2468,Trade School Education,Dropout
2469,Trade School Education,Dropout
2471,Trade School Education,Dropout
2472,Secondary Education,Dropout
2473,Secondary Education,Dropout
2474,Secondary Education,Graduate
2475,Primary Education,Dropout
2476,Trade School Education,Graduate
2478,Secondary Education,Graduate
2479,Primary Education,Dropout
2481,Primary Education,Graduate
2482,Trade School Education,Graduate
2483,Secondary Education,Graduate
2484,Trade School Education,Graduate
2485,Trade School Education,Dropout
2486,Primary Education,Dropout
2487,Primary Education,Dropout
2489,Secondary Education,Graduate
2492,Secondary Education,Dropout
2493,Trade School Education,Graduate
2494,Secondary Education,Graduate
2495,Trade School Education,Graduate
2496,Primary Education,Graduate
2497,Trade School Education,Graduate
2498,Secondary Education,Dropout
2499,Trade School Education,Dropout
2500,Secondary Education,Graduate
2501,Trade School Education,Graduate
2502,Primary Education,Graduate
2503,Secondary Education,Graduate
2504,Trade School Education,Dropout
2505,Primary Education,Graduate
2506,Primary Education,Graduate
2507,Trade School Education,Graduate
2508,Primary Education,Graduate
2509,Primary Education,Graduate
2510,Primary Education,Dropout
2512,Secondary Education,Graduate
2513,Primary Education,Graduate
2514,Secondary Education,Dropout
2516,Secondary Education,Graduate
2517,Primary Education,Graduate
2518,Primary Education,Graduate
2519,Trade School Education,Graduate
2520,Trade School Education,Graduate
2521,Secondary Education,Graduate
2522,Secondary Education,Graduate
2523,Primary Education,Dropout
2524,Secondary Education,Dropout
2525,Secondary Education,Graduate
2526,Secondary Education,Dropout
2527,Primary Education,Graduate
2528,Secondary Education,Graduate
2529,Primary Education,Graduate
2530,Secondary Education,Graduate
2531,Trade School Education,Graduate
2532,Trade School Education,Graduate
2534,Trade School Education,Graduate
2537,Primary Education,Graduate
2538,Trade School Education,Graduate
2539,Trade School Education,Graduate
2540,Secondary Education,Dropout
2541,Primary Education,Dropout
2542,Secondary Education,Graduate
2543,Primary Education,Dropout
2545,Secondary Education,Graduate
2546,Primary Education,Graduate
2547,Primary Education,Graduate
2548,Primary Education,Graduate
2549,Secondary Education,Dropout
2550,Trade School Education,Graduate
2552,Trade School Education,Graduate
2553,Primary Education,Dropout
2556,Secondary Education,Graduate
2559,Primary Education,Dropout
2560,Secondary Education,Graduate
2561,Primary Education,Graduate
2562,Trade School Education,Dropout
2564,Trade School Education,Graduate
2565,Primary Education,Graduate
2566,Trade School Education,Graduate
2569,Primary Education,Graduate
2570,Primary Education,Graduate
2571,Trade School Education,Graduate
2572,Secondary Education,Graduate
2573,Trade School Education,Graduate
2574,Trade School Education,Graduate
2575,Trade School Education,Graduate
2576,Trade School Education,Dropout
2577,Trade School Education,Dropout
2578,Primary Education,Graduate
2579,Trade School Education,Graduate
2580,Primary Education,Graduate
2581,Trade School Education,Dropout
2582,Trade School Education,Graduate
2584,Primary Education,Graduate
2585,Trade School Education,Graduate
2588,Trade School Education,Dropout
2590,Primary Education,Dropout
2592,Trade School Education,Graduate
2593,Primary Education,Dropout
2595,Primary Education,Graduate
2596,Secondary Education,Dropout
2597,Primary Education,Dropout
2600,Trade School Education,Dropout
2602,Trade School Education,Graduate
2603,Trade School Education,Dropout
2604,Trade School Education,Dropout
2605,Trade School Education,Graduate
2606,Trade School Education,Graduate
2607,Trade School Education,Dropout
2608,Trade School Education,Graduate
2609,Trade School Education,Dropout
2610,Secondary Education,Graduate
2611,Secondary Education,Graduate
2612,Secondary Education,Graduate
2613,Secondary Education,Dropout
2614,Secondary Education,Dropout
2615,Secondary Education,Dropout
2616,Primary Education,Dropout
2617,Secondary Education,Graduate
2618,Trade School Education,Dropout
2619,Secondary Education,Graduate
2621,Secondary Education,Graduate
2622,Primary Education,Graduate
2623,Trade School Education,Dropout
2624,Secondary Education,Graduate
2625,Trade School Education,Dropout
2626,Secondary Education,Graduate
2630,Secondary Education,Dropout
2631,Trade School Education,Dropout
2632,Secondary Education,Graduate
2633,Primary Education,Graduate
2635,Secondary Education,Dropout
2636,Trade School Education,Dropout
2637,Secondary Education,Graduate
2638,Trade School Education,Graduate
2639,Primary Education,Graduate
2640,Trade School Education,Dropout
2641,Trade School Education,Graduate
2642,Secondary Education,Dropout
2643,Trade School Education,Dropout
2644,Trade School Education,Graduate
2645,Secondary Education,Dropout
2647,Trade School Education,Dropout
2648,Trade School Education,Dropout
2649,Primary Education,Dropout
2651,Secondary Education,Dropout
2652,Secondary Education,Graduate
2653,Trade School Education,Dropout
2654,Secondary Education,Graduate
2655,Trade School Education,Graduate
2656,Secondary Education,Graduate
2658,Trade School Education,Dropout
2659,Trade School Education,Dropout
2660,Primary Education,Dropout
2661,Trade School Education,Graduate
2662,Secondary Education,Dropout
2663,Secondary Education,Dropout
2664,Trade School Education,Graduate
2665,Trade School Education,Dropout
2666,Trade School Education,Graduate
2667,Primary Education,Dropout
2669,Trade School Education,Dropout
2671,Trade School Education,Graduate
2672,Primary Education,Dropout
2674,Primary Education,Graduate
2676,Trade School Education,Dropout
2677,Trade School Education,Graduate
2679,Trade School Education,Graduate
2680,Primary Education,Graduate
2681,Trade School Education,Dropout
2682,Trade School Education,Dropout
2683,Secondary Education,Graduate
2684,Secondary Education,Dropout
2687,Primary Education,Dropout
2689,Secondary Education,Dropout
2690,Primary Education,Dropout
2691,Secondary Education,Graduate
2692,Primary Education,Graduate
2693,Trade School Education,Graduate
2694,Secondary Education,Graduate
2696,Primary Education,Dropout
2698,Trade School Education,Dropout
2699,Trade School Education,Graduate
2700,Secondary Education,Dropout
2701,Secondary Education,Dropout
2702,Trade School Education,Dropout
2703,Secondary Education,Dropout
2705,Primary Education,Dropout
2706,Secondary Education,Graduate
2707,Secondary Education,Dropout
2708,Secondary Education,Graduate
2710,Trade School Education,Graduate
2711,Trade School Education,Dropout
2712,Trade School Education,Dropout
2713,Secondary Education,Graduate
2714,Secondary Education,Dropout
2715,Trade School Education,Graduate
2717,Secondary Education,Graduate
2718,Secondary Education,Graduate
2719,Secondary Education,Graduate
2720,Secondary Education,Graduate
2723,Primary Education,Dropout
2724,Trade School Education,Graduate
2726,Primary Education,Graduate
2727,Trade School Education,Graduate
2729,Trade School Education,Graduate
2730,Secondary Education,Graduate
2731,Secondary Education,Graduate
2734,Secondary Education,Graduate
2735,Trade School Education,Graduate
2736,Secondary Education,Graduate
2737,Secondary Education,Dropout
2738,Trade School Education,Graduate
2739,Trade School Education,Graduate
2740,Primary Education,Graduate
2741,Primary Education,Graduate
2742,Trade School Education,Graduate
2743,Secondary Education,Graduate
2744,Primary Education,Dropout
2745,Trade School Education,Graduate
2747,Secondary Education,Dropout
2748,Trade School Education,Dropout
2749,Trade School Education,Dropout
2750,Secondary Education,Dropout
2751,Secondary Education,Graduate
2752,Primary Education,Dropout
2753,Trade School Education,Graduate
2754,Trade School Education,Dropout
2755,Trade School Education,Graduate
2756,Trade School Education,Dropout
2757,Secondary Education,Dropout
2760,Secondary Education,Dropout
2763,Primary Education,Graduate
2765,Secondary Education,Graduate
2766,Trade School Education,Graduate
2767,Primary Education,Dropout
2768,Trade School Education,Graduate
2769,Secondary Education,Dropout
2770,Primary Education,Graduate
2771,Trade School Education,Graduate
2773,Secondary Education,Graduate
2775,Trade School Education,Graduate
2778,Secondary Education,Graduate
2779,Primary Education,Graduate
2780,Trade School Education,Graduate
2781,Primary Education,Dropout
2784,Trade School Education,Graduate
2785,Trade School Education,Graduate
2786,Trade School Education,Dropout
2788,Primary Education,Dropout
2789,Trade School Education,Dropout
2790,Primary Education,Dropout
2791,Trade School Education,Graduate
2792,Trade School Education,Graduate
2793,Trade School Education,Graduate
2795,Trade School Education,Graduate
2796,Trade School Education,Dropout
2797,Secondary Education,Graduate
2798,Primary Education,Graduate
2799,Secondary Education,Dropout
2800,Secondary Education,Graduate
2801,Secondary Education,Dropout
2802,Primary Education,Graduate
2803,Primary Education,Graduate
2804,Primary Education,Graduate
2805,Primary Education,Graduate
2806,Trade School Education,Graduate
2808,Secondary Education,Graduate
2810,Trade School Education,Graduate
2811,Primary Education,Dropout
2812,Secondary Education,Graduate
2813,Secondary Education,Graduate
2814,Secondary Education,Graduate
2815,Trade School Education,Graduate
2816,Primary Education,Graduate
2818,Trade School Education,Graduate
2820,Secondary Education,Graduate
2821,Secondary Education,Dropout
2822,Secondary Education,Graduate
2825,Primary Education,Dropout
2826,Secondary Education,Graduate
2827,Trade School Education,Graduate
2829,Secondary Education,Dropout
2830,Primary Education,Graduate
2834,Primary Education,Graduate
2835,Primary Education,Graduate
2836,Primary Education,Dropout
2838,Trade School Education,Dropout
2839,Trade School Education,Graduate
2841,Trade School Education,Graduate
2842,Secondary Education,Graduate
2843,Trade School Education,Dropout
2845,Trade School Education,Graduate
2846,Primary Education,Dropout
2847,Trade School Education,Dropout
2848,Trade School Education,Dropout
2849,Secondary Education,Graduate
2850,Secondary Education,Dropout
2851,Secondary Education,Graduate
2852,Secondary Education,Graduate
2853,Secondary Education,Graduate
2854,Primary Education,Dropout
2855,Secondary Education,Dropout
2856,Secondary Education,Graduate
2857,Secondary Education,Dropout
2858,Secondary Education,Graduate
2860,Trade School Education,Graduate
2861,Secondary Education,Graduate
2862,Trade School Education,Graduate
2863,Trade School Education,Graduate
2864,Secondary Education,Dropout
2865,Trade School Education,Graduate
2866,Secondary Education,Dropout
2867,Trade School Education,Graduate
2869,Trade School Education,Graduate
2870,Secondary Education,Graduate
2871,Trade School Education,Dropout
2873,Trade School Education,Graduate
2874,Trade School Education,Dropout
2876,Secondary Education,Dropout
2878,Trade School Education,Dropout
2879,Trade School Education,Dropout
2880,Trade School Education,Graduate
2882,Trade School Education,Dropout
2883,Trade School Education,Graduate
2884,Trade School Education,Graduate
2885,Trade School Education,Graduate
2886,Trade School Education,Graduate
2887,Primary Education,Graduate
2888,Trade School Education,Graduate
2889,Trade School Education,Graduate
2890,Primary Education,Graduate
2891,Secondary Education,Dropout
2892,Secondary Education,Graduate
2893,Primary Education,Dropout
2894,Trade School Education,Graduate
2895,Trade School Education,Graduate
2897,Secondary Education,Graduate
2898,Secondary Education,Graduate
2899,Secondary Education,Graduate
2901,Primary Education,Dropout
2902,Trade School Education,Graduate
2903,Secondary Education,Graduate
2904,Trade School Education,Dropout
2905,Secondary Education,Graduate
2906,Trade School Education,Graduate
2907,Secondary Education,Graduate
2908,Trade School Education,Graduate
2909,Secondary Education,Dropout
2910,Secondary Education,Dropout
2911,Primary Education,Graduate
2912,Primary Education,Dropout
2913,Primary Education,Graduate
2914,Trade School Education,Dropout
2916,Trade School Education,Graduate
2917,Trade School Education,Graduate
2918,Trade School Education,Dropout
2919,Primary Education,Dropout
2920,Primary Education,Graduate
2922,Trade School Education,Dropout
2923,Primary Education,Dropout
2924,Primary Education,Graduate
2925,Trade School Education,Graduate
2926,Secondary Education,Graduate
2927,Primary Education,Graduate
2928,Trade School Education,Dropout
2930,Trade School Education,Dropout
2931,Primary Education,Dropout
2932,Trade School Education,Dropout
2933,Primary Education,Graduate
2934,Primary Education,Dropout
2935,Primary Education,Dropout
2936,Primary Education,Dropout
2937,Primary Education,Dropout
2939,Trade School Education,Dropout
2940,Trade School Education,Graduate
2942,Trade School Education,Graduate
2943,Primary Education,Graduate
2944,Secondary Education,Graduate
2945,Trade School Education,Dropout
2946,Secondary Education,Dropout
2947,Secondary Education,Graduate
2948,Secondary Education,Graduate
2949,Secondary Education,Dropout
2950,Primary Education,Graduate
2951,Secondary Education,Graduate
2953,Trade School Education,Dropout
2954,Trade School Education,Graduate
2955,Trade School Education,Graduate
2956,Trade School Education,Dropout
2957,Trade School Education,Graduate
2958,Trade School Education,Dropout
2959,Secondary Education,Graduate
2960,Secondary Education,Graduate
2961,Primary Education,Graduate
2962,Secondary Education,Dropout
2963,Secondary Education,Graduate
2964,Primary Education,Dropout
2965,Secondary Education,Graduate
2966,Secondary Education,Graduate
2968,Trade School Education,Graduate
2969,Primary Education,Graduate
2970,Primary Education,Graduate
2971,Primary Education,Dropout
2973,Trade School Education,Graduate
2974,Secondary Education,Dropout
2975,Secondary Education,Graduate
2976,Secondary Education,Graduate
2977,Secondary Education,Dropout
2978,Secondary Education,Graduate
2979,Secondary Education,Dropout
2980,Trade School Education,Graduate
2981,Primary Education,Graduate
2982,Secondary Education,Graduate
2983,Primary Education,Graduate
2984,Secondary Education,Graduate
2985,Trade School Education,Graduate
2987,Primary Education,Graduate
2988,Secondary Education,Graduate
2990,Primary Education,Graduate
2991,Trade School Education,Graduate
2992,Secondary Education,Dropout
2993,Trade School Education,Graduate
2994,Secondary Education,Graduate
2995,Secondary Education,Graduate
2996,Primary Education,Graduate
2998,Secondary Education,Graduate
2999,Primary Education,Dropout
3001,Secondary Education,Graduate
3002,Secondary Education,Dropout
3003,Primary Education,Dropout
3004,Trade School Education,Graduate
3005,Primary Education,Graduate
3006,Secondary Education,Graduate
3008,Trade School Education,Dropout
3009,Secondary Education,Graduate
3010,Secondary Education,Graduate
3011,Secondary Education,Dropout
3012,Trade School Education,Graduate
3013,Secondary Education,Graduate
3014,Secondary Education,Dropout
3015,Trade School Education,Graduate
3016,Secondary Education,Graduate
3017,Secondary Education,Graduate
3018,Trade School Education,Graduate
3019,Secondary Education,Graduate
3020,Primary Education,Graduate
3021,Secondary Education,Graduate
3022,Trade School Education,Dropout
3023,Trade School Education,Graduate
3024,Primary Education,Graduate
3025,Secondary Education,Graduate
3027,Trade School Education,Dropout
3028,Trade School Education,Graduate
3029,Trade School Education,Graduate
3030,Trade School Education,Dropout
3031,Trade School Education,Graduate
3032,Primary Education,Graduate
3033,Trade School Education,Graduate
3034,Secondary Education,Graduate
3035,Primary Education,Graduate
3036,Secondary Education,Dropout
3037,Secondary Education,Graduate
3038,Trade School Education,Graduate
3039,Trade School Education,Dropout
3040,Secondary Education,Dropout
3042,Secondary Education,Graduate
3043,Secondary Education,Graduate
3044,Secondary Education,Graduate
3045,Secondary Education,Graduate
3047,Trade School Education,Dropout
3048,Secondary Education,Graduate
3049,Trade School Education,Graduate
3050,Trade School Education,Dropout
3052,Trade School Education,Graduate
3053,Trade School Education,Dropout
3054,Trade School Education,Graduate
3055,Primary Education,Dropout
3056,Primary Education,Graduate
3057,Primary Education,Dropout
3058,Trade School Education,Graduate
3059,Primary Education,Graduate
3061,Primary Education,Dropout
3062,Primary Education,Dropout
3063,Primary Education,Graduate
3064,Trade School Education,Graduate
3065,Primary Education,Dropout
3066,Secondary Education,Graduate
3068,Trade School Education,Graduate
3069,Trade School Education,Dropout
3071,Secondary Education,Dropout
3072,Secondary Education,Dropout
3074,Trade School Education,Dropout
3076,Secondary Education,Dropout
3078,Secondary Education,Graduate
3079,Primary Education,Dropout
3080,Primary Education,Graduate
3081,Primary Education,Graduate
3082,Trade School Education,Graduate
3083,Secondary Education,Dropout
3084,Trade School Education,Graduate
3086,Trade School Education,Graduate
3087,Primary Education,Graduate
3088,Trade School Education,Graduate
3089,Trade School Education,Dropout
3090,Trade School Education,Graduate
3092,Trade School Education,Graduate
3093,Primary Education,Graduate
3094,Primary Education,Dropout
3095,Primary Education,Graduate
3096,Trade School Education,Graduate
3097,Trade School Education,Dropout
3099,Primary Education,Dropout
3100,Trade School Education,Graduate
3101,Secondary Education,Graduate
3102,Trade School Education,Dropout
3103,Trade School Education,Dropout
3104,Primary Education,Graduate
3105,Primary Education,Dropout
3106,Secondary Education,Graduate
3107,Secondary Education,Graduate
3109,Secondary Education,Graduate
3110,Secondary Education,Dropout
3111,Secondary Education,Graduate
3112,Secondary Education,Dropout
3114,Secondary Education,Graduate
3115,Primary Education,Graduate
3116,Trade School Education,Dropout
3117,Primary Education,Graduate
3118,Primary Education,Graduate
3120,Trade School Education,Dropout
3121,Trade School Education,Graduate
3123,Trade School Education,Graduate
3124,Primary Education,Graduate
3125,Primary Education,Graduate
3127,Primary Education,Graduate
3128,Secondary Education,Graduate
3129,Secondary Education,Graduate
3130,Secondary Education,Graduate
3131,Trade School Education,Graduate
3132,Secondary Education,Graduate
3135,Secondary Education,Graduate
3136,Trade School Education,Graduate
3137,Secondary Education,Graduate
3138,Primary Education,Graduate
3140,Primary Education,Graduate
3141,Secondary Education,Graduate
3142,Trade School Education,Dropout
3143,Trade School Education,Graduate
3144,Trade School Education,Graduate
3145,Trade School Education,Graduate
3146,Secondary Education,Graduate
3149,Trade School Education,Graduate
3151,Secondary Education,Dropout
3152,Secondary Education,Graduate
3153,Secondary Education,Graduate
3156,Secondary Education,Graduate
3157,Primary Education,Dropout
3160,Trade School Education,Graduate
3161,Secondary Education,Graduate
3162,Primary Education,Graduate
3163,Secondary Education,Graduate
3164,Primary Education,Graduate
3165,Secondary Education,Graduate
3166,Secondary Education,Dropout
3167,Primary Education,Dropout
3168,Secondary Education,Dropout
3169,Secondary Education,Graduate
3170,Secondary Education,Graduate
3171,Secondary Education,Dropout
3172,Primary Education,Dropout
3173,Trade School Education,Graduate
3175,Trade School Education,Dropout
3176,Primary Education,Graduate
3177,Trade School Education,Dropout
3178,Secondary Education,Graduate
3180,Secondary Education,Graduate
3181,Primary Education,Dropout
3182,Primary Education,Graduate
3184,Secondary Education,Graduate
3185,Primary Education,Dropout
3186,Primary Education,Dropout
3187,Primary Education,Dropout
3188,Primary Education,Dropout
3189,Trade School Education,Dropout
3190,Primary Education,Dropout
3191,Primary Education,Dropout
3193,Secondary Education,Dropout
3195,Secondary Education,Dropout
3197,Secondary Education,Graduate
3198,Primary Education,Dropout
3199,Secondary Education,Graduate
3200,Primary Education,Dropout
3201,Secondary Education,Graduate
3203,Secondary Education,Dropout
3204,Trade School Education,Dropout
3205,Trade School Education,Dropout
3206,Secondary Education,Graduate
3207,Secondary Education,Dropout
3208,Secondary Education,Dropout
3209,Trade School Education,Graduate
3210,Secondary Education,Graduate
3212,Secondary Education,Graduate
3213,Secondary Education,Dropout
3214,Secondary Education,Graduate
3215,Secondary Education,Graduate
3216,Secondary Education,Dropout
3217,Trade School Education,Graduate
3219,Secondary Education,Dropout
3220,Trade School Education,Dropout
3221,Trade School Education,Dropout
3222,Primary Education,Graduate
3223,Trade School Education,Dropout
3224,Primary Education,Dropout
3225,Trade School Education,Graduate
3226,Primary Education,Graduate
3228,Trade School Education,Graduate
3229,Trade School Education,Graduate
3230,Trade School Education,Graduate
3232,Primary Education,Graduate
3233,Trade School Education,Dropout
3234,Secondary Education,Graduate
3235,Trade School Education,Graduate
3236,Secondary Education,Graduate
3238,Secondary Education,Graduate
3239,Secondary Education,Graduate
3241,Trade School Education,Graduate
3242,Trade School Education,Dropout
3243,Trade School Education,Graduate
3244,Trade School Education,Dropout
3245,Secondary Education,Dropout
3246,Secondary Education,Graduate
3247,Secondary Education,Graduate
3248,Trade School Education,Graduate
3249,Trade School Education,Graduate
3250,Trade School Education,Dropout
3251,Trade School Education,Graduate
3252,Secondary Education,Dropout
3253,Secondary Education,Dropout
3254,Secondary Education,Graduate
3255,Secondary Education,Graduate
3256,Trade School Education,Graduate
3257,Trade School Education,Graduate
3258,Primary Education,Graduate
3259,Trade School Education,Graduate
3260,Secondary Education,Graduate
3261,Secondary Education,Graduate
3262,Primary Education,Dropout
3263,Trade School Education,Graduate
3264,Primary Education,Dropout
3265,Secondary Education,Graduate
3266,Secondary Education,Graduate
3268,Trade School Education,Dropout
3269,Primary Education,Dropout
3270,Trade School Education,Dropout
3271,Trade School Education,Graduate
3272,Trade School Education,Graduate
3274,Trade School Education,Dropout
3275,Trade School Education,Graduate
3276,Primary Education,Dropout
3277,Trade School Education,Graduate
3278,Secondary Education,Dropout
3279,Trade School Education,Graduate
3280,Secondary Education,Graduate
3281,Trade School Education,Dropout
3283,Trade School Education,Graduate
3285,Trade School Education,Graduate
3286,Trade School Education,Dropout
3287,Trade School Education,Dropout
3288,Secondary Education,Graduate
3289,Trade School Education,Graduate
3290,Secondary Education,Dropout
3291,Trade School Education,Dropout
3292,Trade School Education,Dropout
3295,Primary Education,Graduate
3297,Primary Education,Dropout
3298,Secondary Education,Graduate
3299,Trade School Education,Dropout
3300,Primary Education,Dropout
3301,Primary Education,Graduate
3302,Trade School Education,Graduate
3303,Trade School Education,Graduate
3304,Secondary Education,Graduate
3305,Secondary Education,Graduate
3306,Trade School Education,Graduate
3307,Primary Education,Graduate
3308,Primary Education,Graduate
3309,Primary Education,Dropout
3310,Primary Education,Graduate
3311,Trade School Education,Dropout
3314,Secondary Education,Dropout
3315,Trade School Education,Graduate
3316,Primary Education,Dropout
3317,Secondary Education,Graduate
3318,Trade School Education,Dropout
3319,Secondary Education,Graduate
3320,Secondary Education,Graduate
3321,Trade School Education,Dropout
3322,Primary Education,Dropout
3323,Secondary Education,Dropout
3324,Primary Education,Dropout
3326,Trade School Education,Graduate
3327,Secondary Education,Dropout
3330,Secondary Education,Graduate
3331,Primary Education,Dropout
3332,Secondary Education,Dropout
3333,Primary Education,Dropout
3334,Trade School Education,Graduate
3336,Primary Education,Dropout
3337,Primary Education,Dropout
3338,Trade School Education,Dropout
3340,Primary Education,Dropout
3342,Secondary Education,Graduate
3344,Trade School Education,Dropout
3345,Trade School Education,Dropout
3346,Trade School Education,Dropout
3347,Trade School Education,Dropout
3348,Trade School Education,Graduate
3349,Secondary Education,Dropout
3351,Trade School Education,Dropout
3352,Secondary Education,Dropout
3353,Trade School Education,Graduate
3354,Trade School Education,Graduate
3355,Trade School Education,Dropout
3357,Secondary Education,Dropout
3358,Secondary Education,Dropout
3360,Secondary Education,Dropout
3361,Primary Education,Graduate
3362,Secondary Education,Graduate
3363,Secondary Education,Dropout
3364,Primary Education,Dropout
3365,Primary Education,Dropout
3367,Primary Education,Graduate
3369,Secondary Education,Dropout
3370,Trade School Education,Dropout
3371,Trade School Education,Graduate
3372,Secondary Education,Graduate
3373,Trade School Education,Graduate
3374,Primary Education,Graduate
3375,Trade School Education,Graduate
3376,Primary Education,Graduate
3377,Trade School Education,Graduate
3379,Primary Education,Graduate
3380,Primary Education,Dropout
3381,Primary Education,Dropout
3382,Trade School Education,Graduate
3383,Primary Education,Dropout
3385,Primary Education,Graduate
3386,Secondary Education,Graduate
3387,Trade School Education,Graduate
3388,Secondary Education,Graduate
3390,Trade School Education,Graduate
3391,Primary Education,Graduate
3392,Secondary Education,Graduate
3393,Trade School Education,Graduate
3395,Primary Education,Graduate
3397,Trade School Education,Graduate
3398,Secondary Education,Graduate
3399,Trade School Education,Graduate
3400,Trade School Education,Graduate
3402,Primary Education,Graduate
3403,Primary Education,Graduate
3405,Secondary Education,Graduate
3407,Secondary Education,Graduate
3408,Secondary Education,Dropout
3409,Primary Education,Graduate
3411,Trade School Education,Graduate
3413,Secondary Education,Dropout
3414,Secondary Education,Graduate
3417,Trade School Education,Dropout
3418,Trade School Education,Graduate
3419,Primary Education,Graduate
3420,Secondary Education,Graduate
3421,Trade School Education,Dropout
3422,Secondary Education,Dropout
3423,Secondary Education,Dropout
3424,Primary Education,Dropout
3425,Trade School Education,Dropout
3427,Primary Education,Graduate
3428,Trade School Education,Dropout
3429,Trade School Education,Dropout
3430,Primary Education,Graduate
3431,Secondary Education,Graduate
3432,Trade School Education,Graduate
3433,Primary Education,Dropout
3434,Secondary Education,Dropout
3435,Secondary Education,Graduate
3436,Secondary Education,Graduate
3438,Trade School Education,Graduate
3439,Trade School Education,Dropout
3442,Trade School Education,Graduate
3443,Secondary Education,Graduate
3444,Secondary Education,Dropout
3445,Primary Education,Graduate
3446,Secondary Education,Dropout
3447,Secondary Education,Graduate
3448,Primary Education,Graduate
3449,Secondary Education,Graduate
3452,Secondary Education,Graduate
3453,Trade School Education,Graduate
3454,Trade School Education,Dropout
3455,Primary Education,Graduate
3456,Trade School Education,Graduate
3457,Trade School Education,Graduate
3458,Secondary Education,Graduate
3459,Trade School Education,Dropout
3460,Trade School Education,Graduate
3462,Trade School Education,Dropout
3464,Secondary Education,Graduate
3465,Trade School Education,Dropout
3467,Primary Education,Graduate
3470,Trade School Education,Graduate
3471,Trade School Education,Graduate
3472,Trade School Education,Dropout
3473,Primary Education,Dropout
3474,Trade School Education,Dropout
3475,Trade School Education,Graduate
3476,Secondary Education,Graduate
3477,Trade School Education,Dropout
3479,Trade School Education,Graduate
3480,Trade School Education,Graduate
3481,Trade School Education,Graduate
3482,Trade School Education,Dropout
3483,Trade School Education,Dropout
3484,Trade School Education,Dropout
3485,Primary Education,Dropout
3486,Primary Education,Graduate
3487,Secondary Education,Dropout
3488,Secondary Education,Dropout
3489,Secondary Education,Graduate
3490,Trade School Education,Dropout
3491,Trade School Education,Dropout
3492,Trade School Education,Dropout
3493,Trade School Education,Dropout
3494,Trade School Education,Graduate
3495,Trade School Education,Graduate
3496,Trade School Education,Dropout
3497,Trade School Education,Dropout
3498,Trade School Education,Graduate
3500,Secondary Education,Dropout
3501,Trade School Education,Dropout
3502,Trade School Education,Graduate
3503,Secondary Education,Graduate
3504,Secondary Education,Graduate
3505,Trade School Education,Dropout
3506,Trade School Education,Dropout
3507,Secondary Education,Graduate
3509,Secondary Education,Graduate
3510,Secondary Education,Dropout
3512,Primary Education,Dropout
3513,Trade School Education,Dropout
3514,Primary Education,Dropout
3516,Secondary Education,Dropout
3517,Trade School Education,Dropout
3518,Secondary Education,Dropout
3519,Trade School Education,Dropout
3520,Secondary Education,Graduate
3521,Trade School Education,Dropout
3522,Secondary Education,Graduate
3525,Primary Education,Graduate
3526,Secondary Education,Dropout
3527,Secondary Education,Dropout
3528,Secondary Education,Dropout
3530,Secondary Education,Graduate
3532,Secondary Education,Graduate
3533,Primary Education,Dropout
3534,Primary Education,Dropout
3535,Secondary Education,Dropout
3536,Trade School Education,Dropout
3537,Trade School Education,Dropout
3538,Primary Education,Dropout
3539,Secondary Education,Graduate
3540,Secondary Education,Dropout
3541,Trade School Education,Dropout
